2023-12-11 17:13:12.3768|0|INFO|TeamTasks.Micro.Identity.Commands.Register.RegisterCommandHandler|Request for login an account - dsfdsfsd dsfsdf |url: https://localhost/api/v1/identity/register-user|action: Register|TeamTasks.Micro.Identity.Commands.Register.RegisterCommandHandler.Handle
2023-12-11 17:13:13.6422|0|INFO|TeamTasks.Micro.Identity.Commands.Login.LoginCommandHandler|Request for login an account - dsfdsfsd |url: https://localhost/api/v1/identity/register-user|action: Register|TeamTasks.Micro.Identity.Commands.Login.LoginCommandHandler.Handle
2023-12-11 17:13:14.4725|0|INFO|TeamTasks.Micro.Identity.Commands.Login.LoginCommandHandler|User logged in - dsfdsfsd 11.12.2023 11:13:14 |url: https://localhost/api/v1/identity/register-user|action: Register|TeamTasks.Micro.Identity.Commands.Login.LoginCommandHandler.Handle
2023-12-11 17:13:16.2897|0|INFO|TeamTasks.Micro.Identity.Commands.Register.RegisterCommandHandler|User authorized - dsfdsfsd 11.12.2023 11:13:16 |url: https://localhost/api/v1/identity/register-user|action: Register|TeamTasks.Micro.Identity.Commands.Register.RegisterCommandHandler.Handle
2023-12-11 17:13:35.0589|0|DEBUG|Quartz.Core.QuartzSchedulerThread|Batch acquisition of 0 triggers |url: |action: |Quartz.Core.QuartzSchedulerThread.Run
2023-12-11 17:35:36.5427|0|DEBUG|Quartz.Core.JobRunShell|Trigger instruction : NoInstruction |url: |action: |Quartz.Core.JobRunShell.Run
2023-12-11 17:35:38.0173|0|INFO|Microsoft.Hosting.Lifetime|Now listening on: https://localhost:7004 |url: |action: |Microsoft.AspNetCore.Hosting.GenericWebHostService.StartAsync
2023-12-11 17:35:38.0173|0|INFO|Microsoft.Hosting.Lifetime|Now listening on: http://localhost:5284 |url: |action: |Microsoft.AspNetCore.Hosting.GenericWebHostService.StartAsync
2023-12-11 17:35:38.0173|0|INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: |Microsoft.Extensions.Hosting.Internal.ConsoleLifetime.OnApplicationStarted
2023-12-11 17:35:38.0173|0|INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: |Microsoft.Extensions.Hosting.Internal.ConsoleLifetime.OnApplicationStarted
2023-12-11 17:35:38.0173|0|INFO|Microsoft.Hosting.Lifetime|Content root path: G:\DotNetProjects\TeamTasks.Micro\TeamTasks.Micro.Identity |url: |action: |Microsoft.Extensions.Hosting.Internal.ApplicationLifetime.NotifyStarted
2023-12-11 17:35:42.8078|0|INFO|TeamTasks.Micro.Identity.Commands.Register.RegisterCommandHandler|Request for login an account - dsfdsfsd dsfsdf |url: https://localhost/api/v1/identity/register-user|action: Register|TeamTasks.Micro.Identity.Commands.Register.RegisterCommandHandler.Handle
2023-12-11 17:35:51.8707|0|DEBUG|Quartz.Core.JobRunShell|Trigger instruction : NoInstruction |url: |action: |Quartz.Core.JobRunShell.Run
2023-12-11 17:35:53.1545|0|INFO|Microsoft.Hosting.Lifetime|Now listening on: https://localhost:7004 |url: |action: |Microsoft.AspNetCore.Hosting.GenericWebHostService.StartAsync
